Annotations
[ 96 155 269 350]
[ 77  89 335 402]
[  1   2 461 242]
[124  89 211 336]
[ 77 103 182 374]
[106   8 262 498]
[166 115 399 359]
[ 97 217 317 464]
[ 78  26 343 318]
[ 31 262 294 499]
[  0   0 329 369]
[  0  14 311 458]
[  0   1 499 301]
[ 10 273 278 436]
[ 22   0 499 450]
[181 241 258 273]
[142 120 459 374]
[  0   1 332 305]
[ 74  14 411 474]
[ 32 108 308 446]
[ 50  21 290 316]
[240 124 283 194]
[  6   1 332 282]
[173  69 327 276]
[ 19  35 473 429]
[  0  73 461 271]
[ 17  72 499 405]
[114   0 329 486]
[ 53 223 331 439]
[112   1 400 499]
[ 52  24 398 417]
[104  32 145  64]
[146 236 190 357]
[ 75  58 265 366]
[ 15   0 332 497]
[ 33 103 389 445]
[142 195 368 308]
[107  25 395 455]
[153 113 347 368]
[ 20  93 490 374]
[ 63 108 463 287]
[  4 142 332 425]
[ 94   0 335 239]
[ 38  64 345 458]
[ 63 115 374 355]
[  3  79 374 499]
[ 35  85 223 238]
[133 159 238 285]
[ 18 226 248 399]
[204   0 319 112]
[ 75  13 374 399]
[332 119 463 309]
[126  39 291 463]
[235 113 374 226]
[ 95 124 262 354]
[ 81  91 227 313]
[265  39 374 276]
[  2   2 286 498]
[123  96 296 149]
[ 95   7 231 490]
[  0 170 360 498]
[ 95 342 195 499]
[223  18 322 354]
[162 128 318 229]
[ 88 110 374 416]
[ 31   2 373 198]
[ 20  66 277 381]
[ 10 329 367 453]
[119  43 221 458]
[ 41 302  86 379]
[  2   1 374 499]
[ 41  46 353 432]
[  1   2 333 499]
[150 117 220 406]
[ 77   0 499 371]
[ 62  99 199 499]
[233 170 481 372]
[109  36 177 272]
[ 29 234 361 402]
[  1  88 440 306]
[  1  76 347 410]
[130 158 361 412]
[ 35  21 292 426]
[ 83  38 425 419]
[ 65 173 264 294]
[103  93 255 252]
[ 21  77 303 252]
[ 15  45 340 442]
[166   2 499 162]
[ 17   4 254 481]
[ 46  56 457 464]
[ 22   0 306 343]
[ 53 103 263 428]
[ 48  10 488 331]
[ 88 132 320 393]
[284  53 312 113]
[ 72  64 309 402]
[194  19 296  54]
[153 216 243 344]
[  0   5 325 499]
[ 88  31 359 496]
[ 55 239 331 431]
[ 85  80 471 243]
[ 35  37 425 324]
[ 14   0 296 459]
[ 76 195 164 300]
[190   5 499 329]
[ 27  15 314 453]
[ 88 193 334 414]
[156  52 358 447]
[109 125 372 357]
[124 426 332 499]
[ 37  47 374 461]
[185 223 229 296]
[209 418 318 481]
[141 372 373 499]
[138 246 374 411]
[  8   0 374 499]
[ 75  18 310 477]
[123  12 248 156]
[127  35 270 433]
[125 180 286 361]
[158  96 225 217]
[ 72 258 319 439]
[ 67 123 309 318]
[ 54 205 238 315]
[ 11 110 399 395]
[193 258 218 334]
[ 65   0 325 306]
[ 48   0 498 340]
[212 101 374 472]
[121   3 257 497]
[188   1 374 499]
[178 159 373 421]
[ 25 159 240 370]
[ 91  55 373 421]
[  0   0 332 478]
[ 86  12 247 489]
[  0  72 374 314]
[108 198 335 499]
[172 195 289 383]
[176 385 313 464]
[174 320 191 385]
[133  15 274 459]
[  0   0 212 373]
[181 113 308 302]
[ 86 155 338 400]
[ 93 282 182 417]
[166  60 334 177]
[ 21   1 374 338]
[148 153 341 419]
[112  28 265 352]
[151  54 248 214]
[155 252 175 309]
[329  47 470 267]
[ 90  11 306 494]
[143 212 240 318]
[  1  15 373 497]
[ 41   7 316 499]
[ 38   1 346 497]
[125 108 365 414]
[  1   0 380 499]
[245 124 332 476]
[ 56 118 351 393]
[181 187 463 302]
[  1  58 186 235]
[ 74  69 332 498]
[  5   9 497 371]
[ 74  12 372 299]
[200 102 434 447]
[ 64 271 373 414]
[ 84 289 275 403]
[187 163 374 428]
[ 80  55 169 156]
[140 149 321 436]
[ 79  78 270 365]
[  0  31 317 469]
[ 45  32 329 368]
[166 124 374 430]
[ 35  84 224 446]
[159 150 279 309]
[117 164 315 417]
[264 190 469 331]
[ 64  28 410 355]
[ 12 150 374 497]
[ 32 148 332 359]
[120 294 203 499]
[139 179 306 367]
[164  97 345 229]
[159  48 264 342]
[159 249 201 309]
[ 88 156 499 374]
[165 216 279 451]
[181 123 369 351]
[ 96   8 205 492]
[ 55  22 327 158]
[ 70 212 208 333]
[129 102 310 401]
[ 55  12 330 326]
[ 84  80 291 427]
[101 189 374 336]
[ 95 171 190 229]
[113   7 291 490]
[ 48  24 246 472]
[207  71 318 208]
[  1 187 393 326]
[211 189 374 343]
[114   0 360 498]
[138  91 242 472]
[134 259 268 341]
[ 84  70 313 331]
[112  16 237 164]
[  0  22 215 382]
[ 60   0 374 499]
[ 32 152 333 499]
[ 70 205 374 415]
[ 81  38 329 351]
[ 64   0 374 499]
[104 313 155 363]
[ 68   0 371 177]
[193  51 323 437]
[ 72 225 126 244]
[129   0 321 398]
[ 89   0 298 326]
[136   3 374 492]
[ 85 166 303 287]
[ 85   1 499 373]
[ 47  41 311 492]
[123  22 332 499]
[258 326 331 453]
[ 45 114 320 499]
[ 94  18 442 457]
[116  51 176 108]
[116 112 470 217]
[136 213 276 365]
[156   4 374 499]
[195   0 374 204]
[ 15   1 499 279]
[ 63  61 374 324]
[383 198 482 374]
[153 219 279 299]
[  5 156 145 307]
[  2 238 374 499]
[ 90  85 374 358]
[187 391 208 417]
[ 29   0 374 385]
[  4 226 374 499]
[  8  60 308 481]
[125 234 240 296]
[ 37   5 334 352]
[182 410 211 499]
[ 33  12 202 266]
[ 22  32 315 460]
[168 156 454 301]
[151 326 239 424]
[100  27 295 213]
[100   1 374 244]
[246   0 374 479]
[152 211 305 346]
[ 27   1 331 216]
[173 338 362 464]
[ 86 322 213 405]
[ 77 250 325 405]
[177 249 214 342]
[124  41 329 202]
[ 28   1 269 499]
[106 113 265 295]
[ 63 168 401 259]
[  1  18 332 496]
[  2 262 328 427]
[  1  51 335 447]
[ 79  99 323 413]
[  1   0 358 258]
[  0   0 374 402]
[ 65 289 330 478]
[ 19  18 161 485]
[207 184 324 372]
[148 124 293 402]
[  2   0 374 297]
[179  71 339 280]
[191  80 372 474]
[ 75  87 262 313]
[ 76 124 374 499]
[ 95 195 237 272]
[ 77 374 369 499]
[164 239 374 499]
[ 49 104 273 498]
[ 74  14 374 428]
[153  67 252 398]
[166  32 499 189]
[155 114 212 265]
[137 227 374 380]
[158  21 374 426]
[ 19 396 344 496]
[ 91 100 286 422]
[158 156 274 265]
[ 89  28 244 322]
[ 91 107 332 388]
[125  30 233 447]
[131  52 418 391]
[164  23 499 372]
[102 177 400 499]
[150 323 209 403]
[ 25  38 411 228]
[183 142 263 174]
[ 25  91 485 252]
[  0   0 317 479]
[  1  67 322 368]
[ 50  41 333 236]
[187  32 321 480]
[150  78 260 350]
[  0  26 374 499]
[ 53   0 499 225]
[25 19 71 81]
[175 155 241 202]
[ 69  15 287 488]
[166 286 261 355]
[  0   6 227 261]
[ 51 162 209 312]
[ 42  68 289 404]
[138 321 188 415]
[ 89 181 403 349]
[139  89 323 333]
[117 178 193 364]
[  1   1 413 499]
[ 54  69 229 113]
[193  60 374 324]
[ 23  34 374 498]
[117   0 374 368]
[ 21  56 360 442]
[ 58  82 434 272]
[  0   0 372 499]
[ 86  83 365 332]
[ 73 225 239 463]
[ 63  39 312 457]
[ 33  31 472 343]
[108 191 269 339]
[  0 188 437 371]
[  2   2 497 221]
[113 158 296 266]
[221  96 310 234]
[124 184 166 329]
[ 67  72 332 428]
[ 69 182 252 329]
[100  96 250 220]
[ 28 175 305 296]
[175 124 373 344]
[120 135 263 349]
[ 63 137 255 249]
[ 29 102 233 310]
[ 87 143 374 499]
[ 62 172 340 431]
[ 71 170 302 387]
[104  42 299 333]
[ 60 109 268 460]
[151 253 203 384]
[167 184 315 486]
[242 121 370 320]
[ 13  50 499 358]
[222 211 299 237]
[147 329 243 375]
[421 258 492 280]
[129 159 231 434]
[ 12  59 499 360]
[108  18 290 415]
[130 133 461 229]
[ 83 138 211 204]
[ 14 380 296 499]
[ 75  45 347 371]
[156 159 316 449]
[169 104 204 179]
[166 101 349 356]
[144 132 327 286]
[293 332 367 389]
[ 30 322 291 434]
[  2  35 106 378]
[174 145 225 182]
[200  11 332 384]
[171  50 279 457]
[253  35 440 323]
[ 66 208 340 432]
[ 53  27 328 428]
[ 39 302 323 374]
[127 124 432 275]
[ 92 334 217 399]
[134 226 290 329]
[ 87 244 339 499]
[  0  20 373 499]
[ 55  15 275 367]
[170 157 499 424]
[104 156 276 465]
[246   0 417 148]
[  6 103 474 279]
[195 154 499 342]
[176  70 372 418]
[122  58 215 120]
[ 41   0 322 471]
[ 52  11 498 437]
[203 379 332 499]
[120  62 499 341]
[ 65 144 265 283]
[198 106 373 329]
[105  10 268 481]
[ 74  20 336 363]
[109  35 318 439]
[ 37  29 218 482]
[103  90 499 330]
[212 223 278 429]
[  5  16 421 464]
[ 10  60 372 414]
[100  39 291 181]
[ 55  42 331 423]
[129   9 498 377]
[ 92   5 244 497]
[  0 311 152 429]
[ 63  34 355 478]
[301 126 356 207]
[ 98 226 403 364]
[168 228 340 382]
[ 10  77 371 308]
[ 62 370 331 499]
[190 347 288 443]
[274 179 364 234]
[ 83  99 312 440]
[ 67 124 299 322]
[177 148 316 213]
[110   0 250 114]
[184 255 248 343]
[  3   2 499 374]
[ 53  14 493 274]
[107   3 499 231]
[  1 297 374 499]
[ 86  26 272 499]
[  6  74 352 386]
[238   0 374 215]
[ 62   0 343 260]
[ 98   4 333 496]
[ 74 151 254 394]
[100 146 346 276]
[ 83   0 287 158]
[ 71  83 370 241]
[156 116 374 208]
[251   8 366  84]
[ 50   0 374 235]
[124  91 247 361]
[ 38   0 299 402]
[ 32   1 444 288]
[  0   0 374 499]
[ 38  45 303 455]
[ 80   1 374 461]
[173 127 295 320]
[219   1 499 277]
[ 16  61 374 272]
[176  26 342 229]
[ 62 201 285 342]
[ 37  51 498 276]
[ 98  16 215 474]
[  8  65 362 483]
[ 54  60 374 248]
[ 15   3 399 399]
[ 76  61 356 455]
[  2   3 372 499]
[  1 210 374 499]
[ 58 279 370 421]
[105  68 177 139]
[146 255 273 499]
[141  92 332 357]
[ 68 198 334 390]
[146 102 271 392]
[219  21 264  86]
[ 74  64 268 469]
[ 81   6 418 403]
[125 219 326 313]
[210  10 432 331]
[  2   2 374 499]
[ 45 117 309 499]
[160  92 476 220]
[239 152 290 169]
[ 25  25 371 474]
[118 117 250 336]
[137 107 331 263]
[282   4 374 498]
[ 70 138 265 498]
[ 47 179 233 480]
[150 138 320 209]
[ 17 163 374 499]
[  0  35 272 328]
[ 91  80 485 237]
[ 93  65 374 444]
[ 34  91 249 280]
[ 53  83 374 261]
[109 169 127 205]
[162  23 264  96]
[110  36 274 189]
[  2   0 374 474]
[117 155 244 194]
[  2 310 330 499]
[ 79  34 304 417]
[296 203 499 331]
[277 269 294 356]
[121   7 287 206]
[ 88  99 366 401]
[ 86 245 174 283]
[181  74 359 259]
[ 11  37 496 363]
[224 209 284 294]
[ 79  25 289 333]
[  1   0 499 332]
[145  63 374 228]
[138  92 401 302]
[166   0 373 492]
[112 230 195 371]
[ 43 131 336 244]
[ 20   4 379 288]
[ 44  45 499 269]
[ 81  37 301 477]
[199   0 374 499]
[205 176 372 424]
[ 82  68 320 223]
[ 23  63 333 495]
[  1 219 374 499]
[154 183 248 305]
[ 60   0 341 483]
[  0 193 337 399]
[  0  28 326 304]
[165  82 290 374]
[ 18  37 302 498]
[166  32 304 299]
[142  28 245 292]
[ 73  13 316 480]
[260 147 343 378]
[261 125 353 175]
[ 28  95 388 464]
[135  99 319 459]
[  7   5 372 486]
[ 88  97 374 475]
[120  14 251 437]
[157 232 254 296]
[143 180 291 413]
[  3   0 373 499]
[ 45 190 332 364]
[110 278 322 352]
[125 294 304 463]
[  1   3 499 374]
[115   0 335 329]
[162  68 371 476]
[ 91 134 360 499]
[ 71  41 246 458]
[ 54  12 257 173]
[ 64 219 176 313]
[ 57 147 452 374]
[ 38   0 373 267]
[149 109 249 414]
[  0  57 374 478]
[ 90 234 230 299]
[171   3 276 149]
[258   8 450 374]
[  1   2 331 498]
[ 16  13 318 478]
[ 69  86 268 310]
[194 326 372 499]
[ 60 106 286 446]
[ 38   0 499 205]
[  0  85 499 380]
[ 11  25 317 442]
[179 400 286 499]
[277 109 492 249]
[  0   0 374 499]
[ 99 124 336 421]
[ 46   1 499 263]
[ 55  19 345 140]
[118 192 258 485]
[ 29 153 332 483]
[ 56   0 354 498]
[ 36 176 248 393]
[166  28 339 187]
[ 32  68 201 281]
[196 116 305 241]
[109  69 282 378]
[261  82 374 324]
[ 53   0 374 499]
[ 38  22 499 375]
[252 164 327 240]
[  2  85 499 293]
[127  63 251 450]
[136  17 313 487]
[113  11 374 350]
[253 209 374 417]
[273 182 390 271]
[ 17  46 318 406]
[ 63  42 367 297]
[105  59 176 411]
[ 84  12 499 300]
[ 29 282 173 393]
[118  52 406 353]
[ 27  87 317 355]
[162 128 258 299]
[  8  88 498 374]
[105 112 261 378]
[ 47  80 250 474]
[145 232 236 409]
[102   0 374 327]
[157  65 209 216]
[101  40 227 414]
[ 20   2 496 374]
[174  50 392 332]
[ 88  12 489 348]
[145  40 434 359]
[149  21 202 101]
[ 48 163 269 319]
[ 13  45 321 499]
[ 91 124 216 420]
[171  44 329 177]
[ 42   4 374 301]
[145 135 234 383]
[249 279 334 482]
[110 145 311 406]
[ 18  14 425 315]
[110 193 370 304]
[133   0 339 146]
[ 22   9 373 499]
[ 69  60 347 499]
[  0  62 470 339]
[123   5 374 261]
[113  11 411 274]
[187   0 374 298]
[ 35 163 332 385]
[127 253 322 361]
[  1  54 374 475]
[ 40  36 355 430]
[156 225 196 280]
[  0   0 332 499]
[118  80 276 421]
[ 42  74 495 205]
[141 194 283 271]
[107 166 214 286]
[ 94 202 374 486]
[ 38  85 267 221]
[ 63 102 292 452]
[ 33 156 332 447]
[ 22  32 481 352]
[  4   0 332 315]
[ 72  32 332 209]
[ 73  79 474 356]
[271   2 442 373]
[ 29 357 174 496]
[114  67 233 441]
[ 42  69 363 424]
[ 98 184 244 303]
